id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,url,hashtags,query,in_reply_to_screen_name,in_reply_to_status_id,user_mention,media,lat,lng
379035014555779072,https://twitter.com/TheEconomyTrap/status/379035014555779072,2013-09-15 00:12:44+00:00,London house bubble 'threat to UK recovery' http://t.co/9wWe8UtWDd #economy,en,0,TheEconomyTrap,http://trap.it/k43kdW,economy,lang:en #economy,,,,,,
379034333513662464,https://twitter.com/SMSFCoach/status/379034333513662464,2013-09-15 00:10:01+00:00,@value_investing: Too bigger to fail? Big banks are bigger now - http://t.co/kZ8ecsMkeH #banking #gfc #economy,en,0,SMSFCoach,http://ow.ly/oQPGH,banking,lang:en #economy,value_investing,379033266172346369,value_investing,,,
379034158691278848,https://twitter.com/hriscareerworld/status/379034158691278848,2013-09-15 00:09:20+00:00,Middle Market: Increased #Investment and #Employment Growth http://t.co/4z05UyVCBV #economy #jobs #hr,en,0,hriscareerworld,http://j.mp/15QoiOi,Investment,lang:en #economy,,,,,,
379033967279607809,https://twitter.com/FollowFinanzas/status/379033967279607809,2013-09-15 00:08:34+00:00,#news UnitedHealthcare and Florida 4-H Team Up to Promote Healthy Living Among Youth at Statewide Youth... http://t.co/n8gRn4T48A #economy,en,0,FollowFinanzas,http://dlvr.it/3yqXWz,news,lang:en #economy,,,,,,
379033408103809024,https://twitter.com/BI_Australia/status/379033408103809024,2013-09-15 00:06:21+00:00,RT @Alex_Carrick: “Canada’s New Home Starts in August Drifted Lower” http://t.co/3CePXNH3GD #economy #construction #business #finance,en,3,BI_Australia,http://tinyurl.com/mlty8jk,economy,lang:en #economy,,,Alex_Carrick,,,
379033300641525760,https://twitter.com/ConstructionVam/status/379033300641525760,2013-09-15 00:05:55+00:00,RT @Alex_Carrick: “Canada’s New Home Starts in August Drifted Lower” http://t.co/3CePXNH3GD #economy #construction #business #finance,en,3,ConstructionVam,http://tinyurl.com/mlty8jk,economy,lang:en #economy,,,Alex_Carrick,,,
379033263568093184,https://twitter.com/JohnMccay4/status/379033263568093184,2013-09-15 00:05:46+00:00,RT @Alex_Carrick: “Canada’s New Home Starts in August Drifted Lower” http://t.co/3CePXNH3GD #economy #construction #business #finance,en,3,JohnMccay4,http://tinyurl.com/mlty8jk,economy,lang:en #economy,,,Alex_Carrick,,,
379033151940870144,https://twitter.com/Alex_Carrick/status/379033151940870144,2013-09-15 00:05:20+00:00,“Canada’s New Home Starts in August Drifted Lower” http://t.co/3CePXNH3GD #economy #construction #business #finance,en,3,Alex_Carrick,http://tinyurl.com/mlty8jk,economy,lang:en #economy,,,,,,
379032981249081344,https://twitter.com/SeedBomz4Change/status/379032981249081344,2013-09-15 00:04:39+00:00,RT @nandaUganda: Lucrative Crab Industry in Danger http://t.co/5aUGoIQpcL #Alaska #fishing #oceans #climateChange #jobs #economy #foodSecur…,en,3,SeedBomz4Change,http://apps.seattletimes.com/reports/sea-change/2013/sep/11/alaska-crab-industry/,Alaska,lang:en #economy,,,nandaUganda,,,
379032586778976257,https://twitter.com/metanoik/status/379032586778976257,2013-09-15 00:03:05+00:00,"More buses, street lights: how to make India safer for women - The Guardian http://t.co/8aqhDQFZA6 #economy",en,0,metanoik,http://dlvr.it/3yqVJd,economy,lang:en #economy,,,,,,
379032584031703040,https://twitter.com/metanoik/status/379032584031703040,2013-09-15 00:03:04+00:00,Japan launches affordable space rocket - http://t.co/GlnflaqXUd http://t.co/TO9xCcLOn9 #economy,en,0,metanoik,http://Aljazeera.com,economy,lang:en #economy,,,,,,
379032562154606592,https://twitter.com/howlaura/status/379032562154606592,2013-09-15 00:02:59+00:00,"""#Happiness recedes as we stretch our hands to the material #wealth we #desire."" - Humanizing the #Economy, John Restakis @SFUCED",en,0,howlaura,,Happiness,lang:en #economy,,,SFUCED,,,
379030851125645313,https://twitter.com/metanoik/status/379030851125645313,2013-09-14 23:56:11+00:00,Former LU President Warch dies - http://t.co/LrcKTZdkis http://t.co/GJNDMYoMFq #economy,en,0,metanoik,http://Fox11online.com,economy,lang:en #economy,,,,,,
379030589698883585,https://twitter.com/DarrenCLee18/status/379030589698883585,2013-09-14 23:55:09+00:00,"Majority of Americans feel the #economy is no more secure than 5 years ago. 
http://t.co/NhYpaFsvYz",en,0,DarrenCLee18,http://pewrsr.ch/13S7BDw,economy,lang:en #economy,,,,,,
379030533335834625,https://twitter.com/TheLegalRNb/status/379030533335834625,2013-09-14 23:54:55+00:00,Looking forward to tweeting on the #economy and the #EU. #trade #economics #finance #publicfinance #energy #globalvision,en,0,TheLegalRNb,,economy,lang:en #economy,,,,,,
379030392449138688,https://twitter.com/TWD913/status/379030392449138688,2013-09-14 23:54:22+00:00,RT @JBucknoff: Why does the biggest corporation in the World have the second lowest wage? #greed #economy http://t.co/Dux3kWAcka,en,14,TWD913,,greed,lang:en #economy,,,JBucknoff,https://pbs.twimg.com/media/BUH7n_WIcAAcbux.jpg,,
379028822412505088,https://twitter.com/AndrewHClark/status/379028822412505088,2013-09-14 23:48:07+00:00,Shocked. RT @billpostmus: AP: US economic growth remains sluggish  http://t.co/LxLD4A6eGf #Pivot #RoseGarden via @StewSays #economy,en,0,AndrewHClark,http://yhoo.it/1biGs1o,Pivot,lang:en #economy,billpostmus,379013321686413312,billpostmus,,,
