id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,hashtags,query,in_reply_to_screen_name,in_reply_to_status_id,user_mention,url,lat,lng,media
379008931168653312,https://twitter.com/IngramKeegan/status/379008931168653312,2013-09-14 22:29:05+00:00,"Yo, what's there to do.. #Yolo",en,0,IngramKeegan,Yolo,lang:en #yolo,,,,,,,
379008913645240320,https://twitter.com/Brandon_Blue69/status/379008913645240320,2013-09-14 22:29:01+00:00,"@jhuff1982 Mr.Huff, you wish you as drumline swaggy as me. #yolo",en,0,Brandon_Blue69,yolo,lang:en #yolo,jhuff1982,378893756277084161,jhuff1982,,,,
379008887992877056,https://twitter.com/DanielSFaulkner/status/379008887992877056,2013-09-14 22:28:55+00:00,Can you put Nutella on crumpets? Oh well - I'm going to anyway. #yolo,en,0,DanielSFaulkner,yolo,lang:en #yolo,,,,,,,
379008887439249408,https://twitter.com/LoganKornfeld/status/379008887439249408,2013-09-14 22:28:55+00:00,Bein a hipster wearin bell bottoms #yolo,en,0,LoganKornfeld,yolo,lang:en #yolo,,,,,,,
379008869680168961,https://twitter.com/akarp/status/379008869680168961,2013-09-14 22:28:50+00:00,"Starting a refactoring that touches absolutely everything, with only Pycharm and 42 unit tests to protect me from myself. #yolo",en,0,akarp,yolo,lang:en #yolo,,,,,,,
379008834016395264,https://twitter.com/RachaelCarson4/status/379008834016395264,2013-09-14 22:28:42+00:00,@calv_c97 already have #yolo,en,0,RachaelCarson4,yolo,lang:en #yolo,calv_c97,379008438829056000,calv_c97,,,,
379008793818198016,https://twitter.com/casssie4jls/status/379008793818198016,2013-09-14 22:28:32+00:00,Going out with odd shoes on cause angharad wonted me to! #yolo #feelLileAFool,en,0,casssie4jls,yolo,lang:en #yolo,,,,,,,
379008784225419264,https://twitter.com/Oriana39/status/379008784225419264,2013-09-14 22:28:30+00:00,Gonna eat grass for the next two weeks but who cares?! #YOLO #IloveShopping #ShopTillIDrop,en,0,Oriana39,YOLO,lang:en #yolo,,,,,,,
379008768107114496,https://twitter.com/Diyordiyordie/status/379008768107114496,2013-09-14 22:28:26+00:00,NO SUCH THING AS TOO MUCH YOLO BC YOU PROBABLY WILL BE DEAD BEDORE THAT HAPPENS #YOLO #KILLEDBYDEATH,en,0,Diyordiyordie,YOLO,lang:en #yolo,,,,,,,
379008767485935616,https://twitter.com/Anu1865/status/379008767485935616,2013-09-14 22:28:26+00:00,@Abysaran @nerodeherooo @meghaa_25 @Pira289 my uncle asked me whose that girl on my wallpaper .. i said its a guy #yolo,en,0,Anu1865,yolo,lang:en #yolo,Abysaran,379008303973425152,Abysaran,,,,
379008724909584384,https://twitter.com/RobsR5/status/379008724909584384,2013-09-14 22:28:16+00:00,Drinking diet coke instead of coke zero #YOLO #ItsADanisnotonfireThing,en,0,RobsR5,YOLO,lang:en #yolo,,,,,,,
379008714352889856,https://twitter.com/LakersMascot_24/status/379008714352889856,2013-09-14 22:28:13+00:00,"If there is one thing that you could change about the past, what would that be?... — HELL NAH! #Yolo http://t.co/RH0pulnOol",en,0,LakersMascot_24,Yolo,lang:en #yolo,,,,http://ask.fm/a/6m3e0blp,,,
379008694714789889,https://twitter.com/Ayala321/status/379008694714789889,2013-09-14 22:28:09+00:00,I sprayed on some #justinbeiber perfume now I smell like a queef #regret #yolo #swag,en,0,Ayala321,justinbeiber,lang:en #yolo,,,,,,,
379008670061068288,https://twitter.com/KhumboMbeya/status/379008670061068288,2013-09-14 22:28:03+00:00,Fist bumping all me African bruddas lol #yolo,en,0,KhumboMbeya,yolo,lang:en #yolo,,,,,,,
379008662674477056,https://twitter.com/stevovanburen/status/379008662674477056,2013-09-14 22:28:01+00:00,You may be sick more then once but you only live once #yolo @RentasMaria,en,0,stevovanburen,yolo,lang:en #yolo,,,RentasMaria,,,,
379008632157138944,https://twitter.com/lolomatts/status/379008632157138944,2013-09-14 22:27:54+00:00,No idea whose going tonight #yolo,en,0,lolomatts,yolo,lang:en #yolo,,,,,,,
